geoid,Zip_Code,Median_Income
86000US11957,11957,70250
86000US11959,11959,72917
86000US11960,11960,87159
86000US11961,11961,65600
86000US11962,11962,117500
86000US11963,11963,88686
86000US11964,11964,82686
86000US11965,11965,120772
86000US11967,11967,83644
86000US11968,11968,92500
86000US11971,11971,80771
86000US11972,11972,100833
86000US11975,11975,141000
86000US11976,11976,112379
86000US11977,11977,112917
86000US11978,11978,100043
86000US11980,11980,96983
86000US12008,12008,94028
86000US12009,12009,88958
86000US12010,12010,46360
86000US12015,12015,61607
86000US12017,12017,71429
86000US12018,12018,89577
86000US12019,12019,99844
86000US12020,12020,80952
86000US12022,12022,54000
86000US12023,12023,72411
86000US12025,12025,63981
86000US12027,12027,101058
86000US12028,12028,67448
86000US12029,12029,92500
86000US12032,12032,48750
86000US12033,12033,77340
86000US12035,12035,37692
86000US12036,12036,42222
86000US12037,12037,57841
86000US12040,12040,40833
86000US12041,12041,90347
86000US12042,12042,46250
86000US12043,12043,51408
86000US12045,12045,51161
86000US12046,12046,84650
86000US12047,12047,56372
86000US12051,12051,67906
86000US12052,12052,75000
86000US12053,12053,88438
86000US12054,12054,103424
86000US12056,12056,88269
86000US12057,12057,61875
86000US12058,12058,65875
86000US12059,12059,79081
86000US12060,12060,75469
86000US12061,12061,93364
86000US12062,12062,72115
86000US12063,12063,77981
86000US12064,12064,59722
86000US12065,12065,90544
86000US12066,12066,64896
86000US12067,12067,86071
86000US12068,12068,62074
86000US12069,12069,40625
86000US12070,12070,53654
86000US12071,12071,52625
86000US12072,12072,53542
86000US12074,12074,81141
86000US12075,12075,65144
86000US12076,12076,58958
86000US12077,12077,99662
86000US12078,12078,43135
86000US12083,12083,79419
86000US12084,12084,75930
86000US12085,12085,31902
86000US12086,12086,59091
86000US12087,12087,74167
86000US12089,12089,97500
86000US12090,12090,52804
86000US12092,12092,36701
86000US12093,12093,51481
86000US12094,12094,83432
86000US12095,12095,52541
86000US12106,12106,73300
86000US12108,12108,70893
86000US12110,12110,79107
86000US12115,12115,90694
86000US12116,12116,46000
86000US12117,12117,53091
86000US12118,12118,73091
86000US12120,12120,57917
86000US12121,12121,74009
86000US12122,12122,49289
86000US12123,12123,93092
86000US12124,12124,62885
86000US12125,12125,53750
86000US12131,12131,58750
86000US12132,12132,51767
86000US12134,12134,57153
86000US12136,12136,72917
86000US12137,12137,64750
86000US12138,12138,57972
86000US12139,12139,60000
86000US12140,12140,97639
86000US12143,12143,59159
86000US12144,12144,69025
86000US12147,12147,67500
86000US12148,12148,116279
86000US12149,12149,56169
86000US12150,12150,69432
86000US12151,12151,93295
86000US12153,12153,98750
86000US12154,12154,71875
86000US12155,12155,50288
86000US12156,12156,89833
86000US12157,12157,60317
86000US12158,12158,84180
86000US12159,12159,91193
86000US12160,12160,70278
86000US12161,12161,78730
86000US12164,12164,66458
86000US12165,12165,108250
86000US12166,12166,40089
86000US12167,12167,44839
86000US12168,12168,68510
86000US12169,12169,99896
86000US12170,12170,71591
86000US12172,12172,44313
86000US12173,12173,73958
86000US12174,12174,86000
86000US12175,12175,57188
86000US12176,12176,75288
86000US12177,12177,58250
86000US12180,12180,53007
86000US12182,12182,47021
86000US12183,12183,53454
86000US12184,12184,74132
86000US12185,12185,67917
86000US12186,12186,102052
86000US12187,12187,51050
86000US12188,12188,67405
86000US12189,12189,51748
86000US12190,12190,57778
86000US12192,12192,85212
86000US12193,12193,78295
86000US12194,12194,41667
86000US12195,12195,35625
86000US12196,12196,91890
86000US12197,12197,46964
86000US12198,12198,76962
86000US12202,12202,29229
86000US12203,12203,59394
86000US12204,12204,51923
86000US12205,12205,69411
86000US12206,12206,30870
86000US12207,12207,15815
86000US12208,12208,62758
86000US12209,12209,52636
86000US12210,12210,45922
86000US12211,12211,100353
86000US12302,12302,73940
86000US12303,12303,66436
86000US12304,12304,49464
86000US12305,12305,31982
86000US12306,12306,66687
86000US12307,12307,21719
86000US12308,12308,50162
86000US12309,12309,107823
86000US12401,12401,52784
86000US12404,12404,62422
86000US12405,12405,54750
86000US12406,12406,40880
86000US12407,12407,37404
86000US12409,12409,90643
86000US12411,12411,72125
86000US12412,12412,68470
86000US12413,12413,45159
86000US12414,12414,39625
86000US12416,12416,25800
86000US12417,12417,82031
86000US12418,12418,67500
86000US12419,12419,59231
86000US12420,12420,110583
86000US12421,12421,60375
86000US12422,12422,130313
86000US12423,12423,44241
86000US12424,12424,72625
86000US12428,12428,46571
86000US12430,12430,52971
86000US12431,12431,51250
86000US12432,12432,52813
86000US12433,12433,65847
86000US12434,12434,35114
86000US12435,12435,42778
86000US12439,12439,33833
86000US12440,12440,70227
86000US12442,12442,25598
86000US12443,12443,93712
86000US12444,12444,57917
86000US12446,12446,59472
86000US12448,12448,123807
86000US12449,12449,52826
86000US12451,12451,59725
86000US12453,12453,36923
86000US12454,12454,62083
86000US12455,12455,44550
86000US12456,12456,58611
86000US12457,12457,51875
86000US12458,12458,44539
86000US12459,12459,42583
86000US12460,12460,26850
86000US12461,12461,66739
86000US12463,12463,77542
86000US12464,12464,40145
86000US12465,12465,56500
86000US12466,12466,72031
86000US12468,12468,50417
86000US12469,12469,47917
86000US12470,12470,61420
86000US12472,12472,67857
86000US12473,12473,46563
86000US12474,12474,49464
86000US12477,12477,60279
86000US12481,12481,54769
86000US12482,12482,42016
86000US12484,12484,64155
86000US12485,12485,52216
86000US12486,12486,98264
86000US12487,12487,64545
86000US12491,12491,70345
86000US12492,12492,50938
86000US12493,12493,78359
86000US12494,12494,91544
86000US12495,12495,168214
86000US12496,12496,63365
86000US12498,12498,72768
86000US12501,12501,65278
86000US12502,12502,78098
86000US12503,12503,69706
86000US12504,12504,151667
86000US12507,12507,57386
86000US12508,12508,76599
86000US12513,12513,63571
86000US12514,12514,108149
86000US12516,12516,78684
86000US12518,12518,77861
86000US12520,12520,105435
86000US12521,12521,85250
86000US12522,12522,51419
86000US12523,12523,69271
86000US12524,12524,81616
86000US12525,12525,77147
86000US12526,12526,76417
86000US12528,12528,70451
86000US12529,12529,69018
86000US12531,12531,101875
86000US12533,12533,102848
86000US12534,12534,48878
86000US12538,12538,74323
86000US12540,12540,115821
86000US12542,12542,73302
86000US12543,12543,60769
86000US12545,12545,88715
86000US12546,12546,58500
86000US12547,12547,93813
86000US12548,12548,56369
86000US12549,12549,91386
86000US12550,12550,59143
86000US12553,12553,78398
86000US12561,12561,66148
86000US12563,12563,91729
86000US12564,12564,89688
86000US12565,12565,39914
86000US12566,12566,75856
86000US12567,12567,62750
86000US12569,12569,80322
86000US12570,12570,101214
86000US12571,12571,78641
86000US12572,12572,72243
86000US12575,12575,134179
86000US12577,12577,133864
86000US12578,12578,116705
86000US12580,12580,69554
86000US12581,12581,75139
86000US12582,12582,106842
86000US12583,12583,77083
86000US12585,12585,82557
86000US12586,12586,74849
86000US12589,12589,79982
86000US12590,12590,88982
86000US12592,12592,53728
86000US12594,12594,69792
86000US12601,12601,45903
86000US12603,12603,83636
86000US12701,12701,37903
86000US12719,12719,63750
86000US12721,12721,71953
86000US12723,12723,54333
86000US12725,12725,83750
86000US12726,12726,62426
86000US12729,12729,46192
86000US12732,12732,44318
86000US12733,12733,31422
86000US12734,12734,56313
86000US12736,12736,35714
86000US12737,12737,78967
86000US12738,12738,61645
86000US12740,12740,70517
86000US12741,12741,59375
86000US12742,12742,31167
86000US12743,12743,60962
86000US12745,12745,37875
86000US12746,12746,81563
86000US12747,12747,55114
86000US12748,12748,73750
86000US12749,12749,55563
86000US12750,12750,79712
86000US12751,12751,50185
86000US12752,12752,41202
86000US12754,12754,45630
86000US12758,12758,60368
86000US12759,12759,25781
86000US12760,12760,58375
86000US12762,12762,39265
86000US12764,12764,46488
86000US12765,12765,88721
86000US12766,12766,61786
86000US12767,12767,74688
86000US12768,12768,71083
86000US12771,12771,51829
86000US12775,12775,100714
86000US12776,12776,55398
86000US12777,12777,84500
86000US12779,12779,32077
86000US12780,12780,46250
86000US12781,12781,81563
86000US12783,12783,69943
86000US12785,12785,84728
86000US12787,12787,95313
86000US12788,12788,65060
86000US12789,12789,47028
86000US12790,12790,68611
86000US12791,12791,74250
86000US12792,12792,38125
86000US12801,12801,48485
86000US12803,12803,61643
86000US12804,12804,74272
86000US12808,12808,64792
86000US12809,12809,54693
86000US12810,12810,58125
86000US12812,12812,70750
86000US12814,12814,49602
86000US12815,12815,64563
86000US12816,12816,51480
86000US12817,12817,62031
86000US12819,12819,59464
86000US12821,12821,82802
86000US12822,12822,57413
86000US12824,12824,76161
86000US12827,12827,65284
86000US12828,12828,53102
86000US12831,12831,83358
86000US12832,12832,45423
86000US12833,12833,81350
86000US12834,12834,75060
86000US12835,12835,56083
86000US12836,12836,65781
86000US12837,12837,59167
86000US12838,12838,64375
86000US12839,12839,47826
86000US12841,12841,81250
86000US12842,12842,55700
86000US12843,12843,32813
86000US12844,12844,84063
86000US12845,12845,60208
86000US12846,12846,55694
86000US12847,12847,59375
86000US12850,12850,86429
86000US12851,12851,49583
86000US12852,12852,50000
86000US12853,12853,45625
86000US12855,12855,41500
86000US12856,12856,50952
86000US12857,12857,61042
86000US12858,12858,100625
86000US12859,12859,71354
86000US12860,12860,67292
86000US12861,12861,50625
86000US12863,12863,102727
86000US12865,12865,54009
86000US12866,12866,80151
86000US12870,12870,50526
86000US12871,12871,72125
86000US12872,12872,29519
86000US12873,12873,62679
86000US12874,12874,76250
86000US12878,12878,55694
86000US12883,12883,48396
86000US12884,12884,58036
86000US12885,12885,46280
86000US12886,12886,57266
86000US12887,12887,54231
86000US12901,12901,48883
86000US12903,12903,63942
86000US12910,12910,49844
86000US12912,12912,59261
86000US12913,12913,60917
86000US12914,12914,46875
86000US12916,12916,59758
86000US12917,12917,52500
86000US12918,12918,63648
86000US12919,12919,50634
86000US12920,12920,53462
86000US12921,12921,82056
86000US12923,12923,50750
86000US12924,12924,70000
86000US12926,12926,50729
86000US12927,12927,50227
86000US12928,12928,55521
86000US12929,12929,50962
86000US12930,12930,58472
86000US12932,12932,53487
86000US12934,12934,52778
86000US12935,12935,54583
86000US12936,12936,62500
86000US12937,12937,45880
86000US12939,12939,58438
86000US12941,12941,65236
86000US12942,12942,69904
86000US12943,12943,37750
86000US12944,12944,51176
86000US12945,12945,64773
86000US12946,12946,63770
86000US12950,12950,66136
86000US12952,12952,38750
86000US12953,12953,49206
86000US12955,12955,65625
86000US12956,12956,59757
86000US12957,12957,41287
86000US12958,12958,61114
86000US12959,12959,29886
86000US12960,12960,81758
86000US12962,12962,75245
86000US12965,12965,41250
86000US12966,12966,48750
86000US12967,12967,45508
86000US12969,12969,39688
86000US12970,12970,56250
86000US12972,12972,69332
86000US12973,12973,46250
86000US12974,12974,53594
86000US12975,12975,53563
86000US12976,12976,76250
86000US12979,12979,58646
86000US12980,12980,41944
86000US12981,12981,66542
86000US12983,12983,54478
86000US12985,12985,41289
86000US12986,12986,56402
86000US12987,12987,51979
86000US12989,12989,69479
86000US12992,12992,54460
86000US12993,12993,49688
86000US12996,12996,63594
86000US12997,12997,60547
86000US12998,12998,43769
86000US13020,13020,75750
86000US13021,13021,51709
86000US13026,13026,67992
86000US13027,13027,75301
86000US13028,13028,49700
86000US13029,13029,67568
86000US13030,13030,63393
86000US13031,13031,72703
86000US13032,13032,59087
86000US13033,13033,66887
86000US13034,13034,68611
86000US13035,13035,79527
86000US13036,13036,55241
86000US13037,13037,74587
86000US13039,13039,90940
86000US13040,13040,51731
86000US13041,13041,89516
86000US13042,13042,63556
86000US13044,13044,64398
86000US13045,13045,52726
86000US13052,13052,55536
86000US13053,13053,67857
86000US13054,13054,68646
86000US13057,13057,60971
86000US13060,13060,59844
86000US13061,13061,67625
86000US13063,13063,95417
86000US13066,13066,89840
86000US13068,13068,62635
86000US13069,13069,50293
86000US13071,13071,63958
86000US13072,13072,55547
86000US13073,13073,68209
86000US13074,13074,57310
86000US13076,13076,62614
86000US13077,13077,61186
86000US13078,13078,88150
86000US13080,13080,51173
86000US13081,13081,83043
86000US13082,13082,67019
86000US13083,13083,67500
86000US13084,13084,65083
86000US13087,13087,62500
86000US13088,13088,58183
86000US13090,13090,74396
86000US13092,13092,70813
86000US13101,13101,62652
86000US13103,13103,69063
86000US13104,13104,104321
86000US13108,13108,74840
86000US13110,13110,81500
86000US13111,13111,40924
86000US13112,13112,70150
86000US13113,13113,85938
86000US13114,13114,60996
86000US13115,13115,42875
86000US13116,13116,56048
86000US13117,13117,55000
86000US13118,13118,55762
86000US13120,13120,56000
86000US13122,13122,75250
86000US13123,13123,58431
86000US13124,13124,45625
86000US13126,13126,51460
86000US13131,13131,56723
86000US13132,13132,63245
86000US13134,13134,76563
86000US13135,13135,55503
86000US13136,13136,45972
86000US13140,13140,54744
86000US13141,13141,62768
86000US13142,13142,47198
86000US13143,13143,54050
86000US13144,13144,42028
86000US13145,13145,53750
86000US13146,13146,52135
86000US13147,13147,53333
86000US13148,13148,55621
86000US13152,13152,92691
86000US13153,13153,49750
86000US13155,13155,68636
86000US13156,13156,58056
86000US13157,13157,46429
86000US13158,13158,56786
86000US13159,13159,71548
86000US13160,13160,64511
86000US13163,13163,45417
86000US13164,13164,92446
86000US13165,13165,54973
86000US13166,13166,62774
86000US13167,13167,53894
86000US13202,13202,17176
86000US13203,13203,35359
86000US13204,13204,33508
86000US13205,13205,31582
86000US13206,13206,41403
86000US13207,13207,50336
86000US13208,13208,38482
86000US13209,13209,54974
86000US13210,13210,29100
86000US13211,13211,47282
86000US13212,13212,58971
86000US13214,13214,75809
86000US13215,13215,87489
86000US13219,13219,62119
86000US13224,13224,56535
86000US13301,13301,88125
86000US13302,13302,48625
86000US13303,13303,69886
86000US13304,13304,77813
86000US13305,13305,48828
86000US13308,13308,61667
86000US13309,13309,57846
86000US13310,13310,46328
